Review Text,translation,Developer Reply Text
আলহামদুলিল্লাহ💚💚,Alhamdulillah 💚💚,
This app is excellent. It simplifies the English definition.,This app is excellent. It simplifies the English definition.,
Excellently,Excellently,
all time best,all time best,
Amazing app!!! -Smooth interface -Multiple translations and tafsir -Amazing collection of qaris -Auto scroll is my favorite -and at the top is the word by word meaning feature -downloaded in all my devices and recommended every family member.,Amazing app!!! -Smooth interface -Multiple translations and tafsir -Amazing collection of qaris -Auto scroll is my favorite -and at the top is the word by word meaning feature -downloaded in all my devices and recommended every family member.,
Agak telat,A bit late,
kami sangat bertrima kasih kpd sdr yg telah memberikan aplikasi quran tafsir perkata ini. semoga Allah Swt.memberikan balasan pahala kpd Sdr. aamiin.,We are very grateful to the brother who has given us the application of the Quran interpretation of this word. May Allah Swt reward Mr. amen,
Alhamdulillah,Alhamdulillah,
Masha AlIaah,Masha Allah,
"Alhamdulillah! This app is amazing. Easy to use, no unnecessary adds. Beautiful translation. I am impressed. May Allah reward the good work. Aameen.","Alhamdulillah! This app is amazing. Easy to use, no unnecessary adds. Beautiful translation. I am impressed. May Allah reward the good work. Aameen.",
Nice,Nice,
Excellent,Excellent,
Good app mashallah,Good app mashallah,
Alhamdulillah. Most best application. Many function: 1. Have translation in many countries language. 2. Word translate. 3. Auto select & adjustment speed during reading. Syukur to Allah swt & jzkllhr to provider.,Alhamdulillah. Most best application. Many function: 1. Have translation in many countries language. 2. Word translate. 3. Auto select & adjustment speed during reading. Syukur to Allah swt & jzkllhr to provider.,
"Saya baru saja menginstal aplikasi ini dan merasakan banyak kemudahan ketika membaca Al quran, apalagi tersedianya mushaf mode dan saya sangat suka itu... jazakAllahu lakum","I just installed this application and felt a lot of convenience when reading the Koran, especially the availability of mushaf mode and I really like it... jazakAllahulakum",
great helps me alot,great helps me alot,
تطبيق رائع للاندرويد وممتاز لكل مسلم,A wonderful application for Android and excellent for every Muslim,
Jzkl kayran the best app,Jzkl kairan the best app,
Good app can read the holy Qur'an word by word I recommend to download this Qur'an app inshallah,Good app can read the holy Qur'an word by word I recommend to download this Qur'an app inshallah,
Sangat membantu saya ketika murojaah dengan mendengarkan contohnya,It really helped me during murojaah by listening to examples,
Ma Sha Allah App eh Pobitro Quran er lekha guloh Khub soccho aar Tafsir sombuho guloh Quran Sunnah somporkito.. sobai App ta use korben plzz.. Duijahaner sofolota nihito ache eh App eh...,Ma Sha Allah App eh Pobitro Quran er lekha guloh Khub soccho aar Tafsir sombuho guloh Quran Sunnah somporkito.. sobai App ta use korben plzz.. Duijahaner sofolota nihito ache eh App eh...,
The app is exceptional. Barakallahu fikum jiddan,The app is exceptional. Barakallahu fikum jiddan,
ممتازه,Excellent,
This app helps you to read Qu'ran whether online or offline ... it helps me to set a plan on which i can read everyday Qura'n it is awesome i can recommend to someone who wants to improve his relationship with Allah Azawajal and may Allah bless the ones who developed this amazing app,This app helps you to read Qu'ran whether online or offline ... it helps me to set a plan on which i can read everyday Qura'n it is awesome i can recommend to someone who wants to improve his relationship with Allah Azawajal and may Allah bless the ones who developed this amazing app,
Mashalla.,Mashallah.,
This is truly one of the best quran apps. May Allah SWT shower his blessings on the devs who took their time to create such a user friendly app,This is truly one of the best quran apps. May Allah SWT shower his blessings on the devs who took their time to create such a user friendly app,
Subhanallah a very useful app,Subhanallah a very useful app,
مشأ الله جيد جداً,"God willing, very good",
What a wonderful app....,What a wonderful app....,
جزاكم الله خيرا اصدار رائع تشكرون عليه,"May God reward you, a wonderful publication, thank you for it",
"Alhamdulillah, the app has a lot of helpful features, it is easy to use and a must have for everyone. Do not hesitate pls download the app now","Alhamdulillah, the app has a lot of helpful features, it is easy to use and a must have for everyone. Do not hesitate pls download the app now",
Magnifique 👍,Beautiful 👍,
Amazing for quranic arabic students 👏,Amazing for quranic arabic students 👏,
Very Good,Very Good,
"Download aplikasi qur'annya bagus sekali buat belajar bacaan qur'an, tajwid, ayat per ayat kalau tidak bisa bacaan nya tinggal mainkan audio, qorinya juga bisa dipilih, bisa juga belajar tafsir dan bahasa Arab dari ayat per ayat yg ada dalam Al qur'an. Masha Allah semoga menjadi amal Jariyah dan ilmu yg bermanfaat aamiin.","Download the Qur'an application which is great for learning how to read the Qur'an, tajwid, verse by verse, if you can't read it, just play the audio, you can also choose the qori, you can also learn tafsir and Arabic from verse by verse in the Qur'an. an. Masha Allah, hopefully it will be good deeds and useful knowledge, aamiin.",
"The word by word function is really good and if we pear it with some reciter and try to follow his recitation with the word by word translation, it becomes more enjoyable and in the process you can learn some Arabic vucabulary -Ayman from Bulgaria","The word by word function is really good and if we pear it with some reciter and try to follow his recitation with the word by word translation, it becomes more enjoyable and in the process you can learn some Arabic vucabulary -Ayman from Bulgaria",
Highly recommended app. Most usefull to all muslim.,Highly recommended app. Most usefull to all muslim.,
"Ada kesalahan di Surah an-Nahl ayat 87 seharusnya ada nun washal, tetapi di aplikasi ini tidak ada. Tolong diperbaiki.","There is an error in Surah an-Nahl verse 87 where there should be nun washal, but in this application there is not. Please fix it.",
"Masha Allah, lengkap","Masha Allah, complete",
So good app. Thank u brothers,So good app. Thank u brothers,
Alhamdulillah for this app. It brings comfort to the heart! May Allah reward the initiators.,Alhamdulillah for this app. It brings comfort to the heart! May Allah reward the initiators.,
"Il y a un beug, l'application s'arrête de fonctionner instantanément après lancement des qu'on touche l'écran Suggestion : ajouter dans l'application la possibilité de faire une khtma quran ختمة قرآن","There is a glitch, the application stops working instantly after launching as soon as you touch the screen Suggestion: add in the application the possibility of doing a khtma quran ختمة قرآن",
Creditable,Creditable,
JazakumullAhu khair to the developers of this app. It's really beneficial and it's content are rich.,JazakumullAhu khair to the developers of this app. It's really beneficial and it's content are rich.,
"Love the app, it has an easy interface and you can choose the language you want the translation in. Literally the best app 🙌","Love the app, it has an easy interface and you can choose the language you want the translation in. Literally the best app 🙌",
Mashallah the greatest Quran app I have ever downloaded,Mashallah the greatest Quran app I have ever downloaded,
Aplikasi mendekati sempurna ini Seneng pake banget nemu aplikasi ini,This application is close to perfect. Very happy to use this application,
Great Quran reading and listening app. May Allah bless and grant ease to its administrators,Great Quran reading and listening app. May Allah bless and grant ease to its administrators,
"Sangat sangat sangat membantu, semoga menjadi amalan jariyah","Very very very helpful, hopefully it will be a good practice",
تطبيق ممتاز، الصوت واضح والخط كذالك هناك العديد من القراء والوضع الليلي وألوان مكان التجويد ولكن هناك لفتة هامة وهي صعوبة التنقل من آية لأخرى من نفس السورة،نرجوا تعديل ذلك وجزاكم الله عن المسلمين خير الجزاء,"An excellent application, the sound is clear and the font is also there. There are many reciters, night mode and colors of the Tajweed place, but there is an important point, which is the difficulty of moving from one verse to another of the same surah. Please amend that and may God reward you on behalf of the Muslims with the best reward.",
I really enjoy this application. It's a very good application,I really enjoy this application. It's a very good application,
Kaldığım yer var mı acaba uygulama da?,Is there a place where I stayed in the app?,
"For those who want to recite the holy Quran with meaning. Then this is the best app for it . It has translations to many languages like urdu, English etc. I recommend this app. ( ان لوگوں کے لیے جو قرآن پاک کو معنی کے ساتھ پڑھنا چاہتے ہیں۔ پھر یہ اس کے لیے بہترین ایپ ہے۔ اس کے اردو، انگریزی وغیرہ جیسی کئی زبانوں میں ترجمے ہیں۔ میں اس ایپ کی سفارش کرتا ہوں۔)","For those who want to recite the holy Quran with meaning. Then this is the best app for it. It has translations to many languages ​​like Urdu, English etc. I recommend this app. (For those who want to read Holy Quran with meaning. Then this is the best app for that. It has translations in many languages ​​like Urdu, English etc. I recommend this app.)",
Those with bad sight can make use of its bold and clear to read,Those with bad sight can make use of its bold and clear to read,
Mashallah the voices heal my heart,Mashallah the voices heal my heart,
Good...lovely,Good...lovely,
Best,Best,
Software is fine and useful.,Software is fine and useful.,
شکر ا,Sugar A,
جيده,Good,
Ma Sha Allah 🥰,Ma Sha Allah 🥰,
"Alhamdulillah, This app is very helpful.","Alhamdulillah, This app is very helpful.",
سلام ممنون میشم اگه به تفسیر کلمه ای زبان فارسی هم اضافه کنید تشکر از برنامه عالی شما.,"Hello, I would be grateful if you could add the Persian word interpretation, thanks for your great program.",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Absoulutely good ❤,Absoulutely good ❤,
Excapp!,Excapp!,
Best app for quran and translation...,Best app for quran and translation...,
"Благодарна! Да будет доволен Аллах теми, кто приложил усилия в такое прекрасное приложение! Отдельная благодарность за виджет с меняющимися аятами!",Grateful! May Allah be pleased with those who put effort into such a wonderful application! Special thanks for the widget with changing verses!,
Good,Good,
Alhamdulillah sgt mudah.....semoga istiqamah,Alhamdulillah it's very easy.....hope you stay strong,
جزاك الله خيرا وجزاك الجنة الفردوسى. آمين سوما آمين 🙏🙏🙏,May God reward you with goodness and reward you with Jannatul Ferdowsi. Amen soma amen 🙏🙏🙏,
"Sangat memuaskan, sangat bagus","Very satisfying, very good",
Baay'ee bareedaadha.,It's very beautiful.,
"Allahumma barik, one of the best quran App's","Allahumma barik, one of the best quran App's",
Masha Allah!!!,Masha Allah!!!,
Best App 💯 Love It 🤍,Best App 💯 Love It 🤍,
Nice,Nice,
سبحان اللہ العظیم,Glory be to Allah,
Alhamdulillah. 😊😊 One of my favourite application.,Alhamdulillah. 😊😊 One of my favourite application.,
جميل,Beautiful,
Such a wonderful app to look at the meaning and the tafseer of the ayats. Also the grammar of words,Such a wonderful app to look at the meaning and the tafseer of the ayats. Also the grammar of words,
"I can't describe my experience but what I know is that, it is the best.","I can't describe my experience but what I know is that, it is the best.",
عرننب,Arnab,
"Super app, j'ajouterai la dernière étoile lorsqu'il aura le Tafsir en français.","Great app, I will add the last star when it has Tafsir in French.",
Bagus aplikasinyaa,It's a good application,
🌟,🌟,
"saya suka,saya terbantu dengan aplikasi alquran ini,,terimakasahh orang yang membuat aplikasi ini,,semoga panjang umur dan sehat selalu,,amal jariahmu mengalir orang yang membuatnya..matursuon..","I like it, I was helped by this Koran application, thank you to the person who made this application, I wish you a long and healthy life, your good deeds will flow to the person who made it... thank you...",
"I like this Quran app,but it would be helpful if you guys added an English pronunciation feature,this isn't the same as English translation.What I mean is that you should add what the words would sound like if read in English so like this.Wa shamsi wa do haha.You could also add the indicators to show when to stop or pauses on certain words or letters.I honestly think this feature would benefit millions of non arabic speaker like myself.This feature could help many muslims finish the Quran faster","I like this Quran app,but it would be helpful if you guys added an English pronunciation feature,this isn't the same as English translation.What I mean is that you should add what the words would sound like if read in English so like this.Wa shamsi wa do haha.You could also add the indicators to show when to stop or pauses on certain words or letters.I honestly think this feature would benefit millions of non arabic speaker like myself.This feature could help many muslims finish the Quran faster",
This app very useful to learn Quran,This app very useful to learn Quran,
ممتاز جدا ربنا يحفظكم,"Very excellent, may God protect you",
ما شاء الله تطبيق أكثر من رائع,"God willing, the application is more than wonderful",
Good app,Good app,
Mumtz,Mumtaz,
Ma Sha Allah Very interesting app. May Allah reward the developer with Jannatil Firdaus.,Ma Sha Allah Very interesting app. May Allah reward the developer with Jannatil Firdaus.,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Very fantastic satisfied most of my need in respect to Quran reading is satisfied May the most high reward you with jannatul Firdausi,Very fantastic satisfied most of my need in respect to Quran reading is satisfied May the most high reward you with jannatul Firdausi,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Barakaallahu fee. Such a very great app. Has the features of many apps combined. It's really helpful,Barakaallahu fee. Such a very great app. Has the features of many apps combined. It's really helpful,
Excellent App ❤️,Excellent App ❤️,
"This is a great tefsir and reading quran app you will ever see, jezakumullah to the founder and mufesirin","This is a great tefsir and reading quran app you will ever see, jezakumullah to the founder and mufesirin",
A Billions heart of love for this app.. Thanks for all member who were doveloping this app♥️❤️💙💞 Allah apnader hayat a Tayyiba dan koruk..💙❤️💞,A Billions heart of love for this app.. Thanks for all member who were doveloping this app♥️❤️💙💞 Allah apnader hayat a Tayyiba dan koruk..💙❤️💞,
Best quranic apps.,Best quranic apps.,
Jazakhallahu khairan,Thank you very much,
The best qura'an application you need as a Muslim..... barokallahu feeh,The best qura'an application you need as a Muslim..... barokallahu feeh,
Is the best but when one finish playing a sura you have to go back and select another sura to play,Is the best but when one finish playing a sura you have to go back and select another sura to play,
MasyaAllah,God willing,
Alhamdulillah. Very good App,Alhamdulillah. Very good App,
Masha Allah May Allah Bless the Developers May Jannatul firdaw be their final Abode Allah Ya biya ku da gidan Aljanna. Amin Ya Hayyu Ya Qayyum,Masha Allah May Allah Bless the Developers May Jannatul firdaw be their final Abode May Allah reward you with Paradise. Amen Ya Hayyu Ya Qayyum,
ممتاز جزاكم الله خير,"Excellent, may God reward you",
Sehr gut,Very good,
Wonderfull app,Wonderfull app,
"Istimewa, Masya Allah, Lengkap","Special, Masha Allah, Complete",
Bagus sekali aplikasinya,Very good application,
"Ma sha Allah, Bara kalla feee","Ma sha Allah, Every day",
"Alhamdulillah, barakallah","Alhamdulillah, may God bless you",
I enjoy the tafsir attached to every single verse and the variety of reciters. The best Qur'an app there is.,I enjoy the tafsir attached to every single verse and the variety of reciters. The best Qur'an app there is.,
Judayyam Zo'r boshqa oyatlardan ancha oson yozilgan o'qigani ham judayyam qulay. N_1 👍desa xam boladi Barchaga Tavsiya qilaman,It is also very convenient that it is written much more easily than other verses. N_1 can say 👍 I recommend it to everyone,
Perfect. You can research each word and see its different usages in the Quran. The tafsir section needs more tafsirs,Perfect. You can research each word and see its different usages in the Quran. The tafsir section needs more tafsirs,
I really love this app it helps a lot,I really love this app it helps a lot,
"Jazakumullah Khairan Katsiran for The Team! Alhamdulillah I found this amazing app! I pray for your success in this world and the hereafter, aamiin.","Jazakumullah Khairan Katsiran for The Team! Alhamdulillah I found this amazing app! I pray for your success in this world and the hereafter, aamiin.",
This is best for read quran,This is best for read quran,
Une excellente expérience que j'encourage à d'autres frères de suivent,An excellent experience that I encourage other brothers to follow,
It's a wonderful app. Easy to navigate and actually helps in learning Arabic. Makes it easier to learn the Qur'an as well. 10/10 would recommend.👌🏻,It's a wonderful app. Easy to navigate and actually helps in learning Arabic. Makes it easier to learn the Qur'an as well. 10/10 would recommend.👌🏻,
"অনেক উপকারী একটি সফটওয়্যার,আল্লাহ আপনাদের উত্তম প্রতিদান দিন","A very useful software, may God reward you well",
Very good,Very good,
Great,Great,
ياريت يكون المصحف بترجمة وبدون ترجمة.,I wish the Qur’an could be with or without translation.,
بارك الله فيكم على هذه المحتوى,May God bless you for this content,
"It works and gives you reminders to read the quran and makes it easier with notofocation like ""have you read an ayah today"" very good mashallah","It works and gives you reminders to read the quran and makes it easier with notofocation like ""have you read an ayah today"" very good mashallah",
One of the best Quran app that I have used. Keep the good work.,One of the best Quran app that I have used. Keep the good work.,
Добавте пожалуйста казахский дословный перевод,Please add Kazakh literal translation,
Audio playback has issues. Download fails multiple times. However overall good experience.,Audio playback has issues. Download fails multiple times. However overall good experience.,
It's so excellent may the Almighty Allah bless the developer,It's so excellent may the Almighty Allah bless the developer,
تطبيق ممتاز بارك الله فيهم,"Excellent application, God bless them",
"This is everything I have as means to contribution towards this great work, Ma Allah reward the brain behind this work abundantly.","This is everything I have as means to contribution towards this great work, Ma Allah reward the brain behind this work abundantly.",
Love it Really great The best one ive seen so far Make sure to check their other app Quran memoriser too it's good too,Love it Really great The best one ive seen so far Make sure to check their other app Quran memoriser too it's good too,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Good,Good,
Its really one of the best apps I have ever used...,Its really one of the best apps I have ever used...,
Alhumdulillah helpful for all,Alhumdulillah helpful for all,
Bagus,Good,
"please fix the ""last read"" bug...unable to keep track recitation.","please fix the ""last read"" bug...unable to keep track recitation.",
Best QurAan app ever developed.,Best QurAan app ever developed.,
Alhamdulillah 🥰🥰,Alhamdulillah,
"I search many quran app this one is best quran app, alhamdulillah so many options and very useful","I search many quran app this one is best quran app, alhamdulillah so many options and very useful",
Super,Super,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
جزاكم الله الف خير وجعله في ميزان حسناتكم,May God reward you with goodness and place it in the balance of your good deeds,
السلام عليكم.اتمنى من الله ان يكون جزاؤكم على هدا التطبيق الجنة ان شاء الله.ملحوظة بسيطة لا يشتغل صوت المقرئ صلاح ابو خاطر في سورة البقرة.يتم تحميل تحميل ملف الصوت و عند القراءة يتم مسح ملف الصوت ليطلب التطبيق تحميله من جديد.و جزاكم الله خيرا,"Peace be upon you. I hope from God that your reward for this application will be Paradise, God willing. A simple note: the voice of the reciter Salah Abu Khater does not play in Surat Al-Baqarah. The audio file is downloaded and when reading, the audio file is deleted and the application asks to download it again. May you be rewarded. God is good",
Good apps,Good apps,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
"Great App, well designed and great features and modes for all types of reading styles and meaning.the range of languages and styles is very impressive.May Allah bless the creators.","Great App, well designed and great features and modes for all types of reading styles and meaning.the range of languages and styles is very impressive.May Allah bless the creators.","Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
good apps It's helpful,good apps It's helpful,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
Great app,Great app,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
Alhamdulillah terimakasih kak aplikasinya bagus banget,"Alhamdulillah, thank you sis, the application is really good",
Very god,Very god,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
ماشاء الله,God bless,
A1 application very useful just go for it,A1 application very useful just go for it,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
"I have no word, Superb & Excellent","I have no word, Superb & Excellent","Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
Qu Allah nous facilite la mise en pratique de sa religion,May Allah facilitate us in practicing his religion.,
A great app could you do on it anything I love it so,A great app could you do on it anything I love it so,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
Excellent,Excellent,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
"Very good app for All Muslims, but it completely offline reading in this same version without using data. Thanks. Hilton Gogra suggested.","Very good app for All Muslims, but it completely offline reading in this same version without using data. Thanks. Hilton Gogra suggested.",
Judayam zòr program. Kunlik oyatlar esa eng ajoyibi.,Very difficult program. And the daily verses are the best.,
الحمدلله عالی بود,Alhamdulillah it was great,
"This is a very good app. If you are having difficulties translating Arabic, this is your go to app, the English translation is very easy and comprehensible.","This is a very good app. If you are having difficulties translating Arabic, this is your go to app, the English translation is very easy and comprehensible.","Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
ممتاز جدا,excellent,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
It's cool and lovely with the update,It's cool and lovely with the update,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
Sangat bagus dan nyaman untuk dibaca,Very nice and comfortable to read,
Sangat membantu,Very helpful,
Appropriate app. Convenient.,Appropriate app. Convenient.,
Best Qur'an apps i've ever had very suitable for reading until memorizing because the audio playing that could be specified really helpful,Best Qur'an apps i've ever had very suitable for reading until memorizing because the audio playing that could be specified really helpful,
The best,The best,
سبحان الله والحمد لله... semoga Allah memberikan rahmatNya untuk pembuat pembuat aplikasi ini... امين يارب العالمين الفاتحة.....,"Glory be to God and praise be to God... semoga Allah memberikan rahmatNya untuk pembuat pembuat aplikasi ini... Amen, Lord of the worlds Al-Fatihah.....",
Пусть Аллах воздаст благом за такой огромный и полезный труд,May Allah reward such enormous and useful work with blessings,
Very good,Very good,
MASALLAH. Amazing,MASALLAH. Amazing,
তাজভীদ সহ পড়তে অনেক সাহায্য করবে বারাকাল্লাহ,Barakallah will help a lot to read with tajveed,
Good,Good,
A++,A++,
"Alhamdulillah,this app are very helpful and app features are very easy and graceful,,","Alhamdulillah,this app are very helpful and app features are very easy and graceful,,",
Beautiful work. But I don't know why I need to rate this app every time. I think you guys should stop this bug. It's annoying.,Beautiful work. But I don't know why I need to rate this app every time. I think you guys should stop this bug. It's annoying.,BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
Superb,Superb,
"Terima kasih atas aplikasinya,,, semoga allah membalas dengan pahala berlimpah... Amin","Thank you for the application,,, may Allah reward you abundantly... Amen",
The app is an upgrade to some other ones we have put there,The app is an upgrade to some other ones we have put there,
"Alhamdullilah, it's a great app","Alhamdullilah, it's a great app",
Very good apps for quaran learners.,Very good apps for quaran learners.,
Helped me a lot,Helped me a lot,
আলহামদুলিল্লাহ অনেক সুন্দর একটি অ্যাপ। কিন্তু বাংলা উচ্চারণ টা যুক্ত করলে আমার মনে হয় অনেক ভালো হবে। তবে সেটা অপশনাল হিসেবে যেমন কেউ ইচ্ছা করলে বাংলা উচ্চারণ দেখলো বা না দেখলো এমন। তাহলে যার বাংলা উচ্চারণ দরকার সে উপকৃত হবে আশা করি ইংশা আল্লাহ।,"Alhamdulillah very nice app. But if you add the Bengali pronunciation, I think it will be much better. However, it is optional as if one wants to see Bengali pronunciation or not. So whoever needs Bengali pronunciation will benefit, I hope Insha Allah.",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
I very helpful app Barakahlah fihi,I very helpful app Barakahlah fihi,
May ALLAH GRANT YOU JANNAH,May ALLAH GRANT YOU JANNAH,
برنامج يستحق التقدير ..فقط عليك انزال الصور عبر النت لاول مره .مع وجود احسن الاصوات لقراء للقران الكريم .جزيل الشكر لكل من ساهم في هذا البرنامج ..,A program that deserves appreciation.. You just have to download the pictures via the Internet for the first time. With the best voices of reciters of the Holy Qur’an. Many thanks to everyone who contributed to this program..,
جميل جداً واسئل الله أن يجعله في ميزان حسناته الذي عمل هذا التطبيق لأنه يذكرك بقراءة القرآن في غفلتك,"It is very beautiful, and I ask God to place it in the balance of His good deeds, who created this application because it reminds you to read the Qur’an in your heedlessness",
Just simply amazing,Just simply amazing,
ممتاز جدا,excellent,
"Best Quran app I've seen on playstore.... thumbs up for the brains behind this good work.Good and reliable tafseer and translation feature,also available range of audio to be downloaded....may Allah bless the team","Best Quran app I've seen on playstore.... thumbs up for the brains behind this good work.Good and reliable tafseer and translation feature,also available range of audio to be downloaded....may Allah bless the team",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
جزاكم الله خيرا ،التطبيق رائع ربنا ينفع بيكم,"May God reward you, the application is wonderful, may God benefit you",
برنامج ممتاز جزاكم الله خيرا,"Excellent program, may God reward you",
"Denna app är fantastisk och användbar, jättebra för de som vill förstå vissa svårare ord i Koranen till enklare språk. Du kan lägga upp en plan på ex antal dagar för att uppnå ditt mål när det kommer till att läsa, man får helt enkelt någon typ av motivation, någon känsla som får dig vilja komma in i appen för att utforska/lära mer om Koranen. Rekommenderar starkt!","This app is amazing and useful, great for those who want to understand some more difficult words in the Quran in simpler language. You can set up a plan of e.g. number of days to achieve your goal when it comes to reading, you simply get some type of motivation, some feeling that makes you want to enter the app to explore/learn more about the Koran. Highly recommend!",
"Ma sha Allah sehr hilfreich, um den Quran und die Sunna besser zu lernen.",Ma sha Allah very helpful to learn Quran and Sunnah better.,
Very helpful,Very helpful,
والله مليح قوة,God is full of strength,
nice,nice,
Great. I really like it. Easy to use. Thank you.,Great. I really like it. Easy to use. Thank you.,
"আলাহামদুলিল্লাহ , খুবই সুন্দর একটি কুরআনের এ্যাপ । সুবিধা মতো পড়া ও শিক্ষার অনেক ফিচারই আছে ।","Alhamdulillah, a very beautiful Quran app. There are many features like reading and learning.",
Simple and beautiful,Simple and beautiful,
Thank you for this beautiful application 💗,Thank you for this beautiful application 💗,
Alhamdulillah,Alhamdulillah,
"Mashallah, very good Quran app for reciters of any lavel. Easy to trace sura and ajzaa. It's all good mashallah.","Mashallah, very good Quran app for reciters of any lavel. Easy to trace sura and ajzaa. It's all good mashallah.",
Masha Allah. Very useful,Masha Allah. Very useful,
I'm using this app to help me in Alquran qrammar studies quite useful although would be better with more,I'm using this app to help me in Alquran qrammar studies quite useful although would be better with more,
Such a wonderful app,Such a wonderful app,
Bagus sekali,Very good,
"Masha Allaah this app is good to me Alhamdulillah, I really appreciate your dedication.","Masha Allaah this app is good to me Alhamdulillah, I really appreciate your dedication.",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
"Thik is just amazing and very much helpful app...it’s internal configuration, wow.","Thik is just amazing and very much helpful app...it’s internal configuration, wow.",
Very much good and easy to use.... May Allah continue to bless the developers.... Aameen.,Very much good and easy to use.... May Allah continue to bless the developers.... Aameen.,
Masyaa Allah aplikasi yg worth it banget,"Mashaa Allah, the application is really worth it",
Très bonne application merci que dieu vous benisse.,Very good application thank you god bless you.,
Top markotop..,Top markotope..,
This is definitely one of the best Quran app I have used. I can increase the test size so I don't need to wear reading glasses and the Arabic text is very clear. The translation is excellent too.,This is definitely one of the best Quran app I have used. I can increase the test size so I don't need to wear reading glasses and the Arabic text is very clear. The translation is excellent too.,
Alhamdulillah... This app has been very helpful. Jazakumullahu Khair.,Alhamdulillah... This app has been very helpful. Jazakumullahu Khair.,
Jazakallahu khairan for such a helpful application..May Allah SWT bless your team...Ameen🩷,Jazakallahu khairan for such a helpful application..May Allah SWT bless your team...Ameen🩷,
